cod_imovel,municipio
MT-5105101-98A85E38FD884DA1B3F4F6788106DFC9,Juara
MT-5105101-98A85E38FD884DA1B3F4F6788106DFC9,Juara
MT-5104559-3F18841FFBAE4F5FB315F03A7E7B0849,Itauba
MT-5104559-3F18841FFBAE4F5FB315F03A7E7B0849,Itauba
MT-5106216-5276640FD61045BF9026EE6DE666EE6B,Nova Canaa do Norte
MT-5106216-5276640FD61045BF9026EE6DE666EE6B,Nova Canaa do Norte
MT-5100250-65CE2556980C44D7BF20DA735DDCAF03,Alta Floresta
MT-5104559-09422F229BFA4561AB5604128E48547A,Itauba
MT-5106216-F0228EC841C24B508938984214C5EAD6,Itauba
MT-5107941-0F0557A79DE145B09F2D4789EC398BCA,Tabapora
MT-5104559-5CF68CC6C3DF4B4A868EBFC00C0D2615,Itauba
MT-5107941-9E411B23B72340348E327370B656A986,Tabapora
MT-5104559-5F3F1A5D727A4CDC90CA866C686AB46B,Itauba
MT-5104559-F7831313E8154816B1FCBB87133B1D97,Itauba
