field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
4974415,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,221.2,46.2
4681779,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,60.3,12.9
4533274,GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,14.6,10.8
4903857,GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,10.7,10.7
4668028,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,27.6,9.5
4679025,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,5.0,3.1
4659940,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,7.4,3.1
4745030,GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,cattle,7.8,2.8
4766627,GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,125.2,2.7
4685105,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,6.6,2.5
