cod_imovel,municipio,cod_estado,geometry
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,Fazenda Nova,GO,
GO-5212204-011050C9BC804D77A80A4F161A120C5A,Jussara,GO,
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,Jussara,GO,
GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,Jussara,GO,
GO-5212204-118F8241E57F4C21AF20F2486C2316F9,Jussara,GO,
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,Jussara,GO,
,,,POINT (-51.39127228109898 -15.539711049431583)
GO-5212204-156094615E67476AB099D9F46F6C0655,Jussara,GO,
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,Jussara,GO,
GO-5212204-16833B91FD32494C864B458F765C0755,Jussara,GO,
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,Jussara,GO,
GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,Jussara,GO,
GO-5212204-20FBD72E32A74011BE0C063F4C507E80,Jussara,GO,
GO-5212204-230E3EB4EA894130A1CF632779C35DF4,Jussara,GO,
GO-5212204-24550295C0BD4B61B04260CF073F0784,Jussara,GO,
GO-5212204-24978B3823B34D09AA76633A5DD8CFE2,Jussara,GO,
GO-5212204-27018A8454A847469C4A947E06A1A23E,Jussara,GO,
GO-5212204-2849994015EF46DB90DE964061CB16A2,Jussara,GO,
GO-5212204-28658426F94C46068323D3A6FEE33470,Jussara,GO,
GO-5212204-294B806F6169468E98BB3456EC5158A4,Jussara,GO,
GO-5212204-2AD669448DED4EF59B8729DE50E7DEE2,Jussara,GO,
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,Jussara,GO,
GO-5212204-2C904799081B439BB5AC023234C7073F,Jussara,GO,
GO-5212204-2CC9462D520645069EBCBC7EA3D33548,Jussara,GO,
GO-5212204-304A3F0280604EAC866922F896EC2AF5,Jussara,GO,
GO-5212204-32E6D42B795F4D54B06D6D8C2709096C,Jussara,GO,
GO-5212204-3AF33D4A071C45C88BD8B31829ACFD81,Jussara,GO,
GO-5212204-3C9A1ADACE5C48158FFB0E253DD25653,Jussara,GO,
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,Jussara,GO,
GO-5212204-44A20600D515455FBC21DE3D450D828B,Jussara,GO,
GO-5212204-498B6B5D358E4981AEF4DE19AF27B399,Jussara,GO,
GO-5212204-4C368AF214CE46F5BD8982CDA10FD865,Jussara,GO,
GO-5212204-50D789C6D210454F80F32B313D791784,Jussara,GO,
GO-5212204-52E2FECF2A7042F2B0DC6B27138AADE6,Jussara,GO,
GO-5212204-57B761BC972B4CF1ACB6FB3191344583,Jussara,GO,
GO-5212204-58CF696D8D4E433088EF08BC9873490F,Jussara,GO,
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,Jussara,GO,
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,Jussara,GO,
GO-5212204-5A626DA1611C4A4885618BD646CF0010,Jussara,GO,
