cod_imovel,municipio,post2020_loss_ha,n_fields_post2020_loss
GO-5212204-00000000000000000000000000000000,Jussara,2000.0,50
GO-5212204-00000000000000000000000000000001,Santa Fe de Goias,1950.0,48
GO-5212204-00000000000000000000000000000002,Jussara,1900.0,46
GO-5212204-00000000000000000000000000000003,Santa Fe de Goias,1850.0,44
GO-5212204-00000000000000000000000000000004,Jussara,1800.0,42
GO-5212204-00000000000000000000000000000005,Santa Fe de Goias,1750.0,40
GO-5212204-00000000000000000000000000000006,Jussara,1700.0,38
GO-5212204-00000000000000000000000000000007,Santa Fe de Goias,1650.0,36
GO-5212204-00000000000000000000000000000008,Jussara,1600.0,34
GO-5212204-00000000000000000000000000000009,Santa Fe de Goias,1550.0,32
