field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
100000,GO-5212204-00000000000000000000000000000000,cattle,500.0,250.0
100001,GO-5212204-00000000000000000000000000000001,cattle,500.0,240.0
100002,GO-5212204-00000000000000000000000000000002,cattle,500.0,230.0
100003,GO-5212204-00000000000000000000000000000003,cattle,500.0,220.0
100004,GO-5212204-00000000000000000000000000000004,cattle,500.0,210.0
100005,GO-5212204-00000000000000000000000000000005,cattle,500.0,200.0
100006,GO-5212204-00000000000000000000000000000006,cattle,500.0,190.0
100007,GO-5212204-00000000000000000000000000000007,cattle,500.0,180.0
100008,GO-5212204-00000000000000000000000000000008,cattle,500.0,170.0
100009,GO-5212204-00000000000000000000000000000009,cattle,500.0,160.0
