cod_imovel,municipio,post2020_loss_ha,n_fields_post2020_loss
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,Jussara,46.94391197420048,2
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,Jussara,27.01954904480855,11
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,Jussara,13.314346325955398,5
GO-5212204-5A626DA1611C4A4885618BD646CF0010,Jussara,10.838335236306648,2
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,Santa Fe de Goias,3.119789492550331,2
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,Jussara,3.0036766976918647,2
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,Jussara,2.8578291389362964,2
GO-5212204-57B761BC972B4CF1ACB6FB3191344583,Jussara,2.481839554175935,1
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,Santa Fe de Goias,1.6153523785488562,2
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,Jussara,1.1992123598349458,1
