cod_imovel,municipio,post2020_loss_ha,n_fields_post2020_loss
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,Jussara,46.943912,2
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,Jussara,29.501389,12
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,Jussara,13.314346,5
GO-5212204-5A626DA1611C4A4885618BD646CF0010,Jussara,10.838335,2
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,Santa Fe de Goias,3.119789,2
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,Jussara,3.003677,2
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,Jussara,2.857829,2
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,Santa Fe de Goias,1.615352,2
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,Jussara,1.199212,1
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,Jussara,0.603601,1
