cod_imovel,annex1_commodity,post2020_loss_ha,entity_id,entity_kind,tier,basis,distance_km
GO-5212204-156094615E67476AB099D9F46F6C0655,cattle,0.311627,5212204,cooperative,membership_muni,observed,
GO-5212204-294B806F6169468E98BB3456EC5158A4,cattle,0.049212,5212204,cooperative,membership_muni,observed,
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,29.501389,5212204,cooperative,membership_muni,observed,
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,3.003677,5212204,cooperative,membership_muni,observed,
GO-5212204-50D789C6D210454F80F32B313D791784,cattle,0.275553,5212204,cooperative,membership_muni,observed,
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,cattle,0.603601,5212204,cooperative,membership_muni,observed,
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,cattle,0.048188,5212204,cooperative,membership_muni,observed,
GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,10.838335,5212204,cooperative,membership_muni,observed,
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,cattle,0.081526,5484,buyer,slaughter_point,observed,9.61138
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,13.314346,5212204,cooperative,membership_muni,observed,
GO-5212204-89767A2A870E408092A410DDBAFF342D,cattle,0.086554,5212204,cooperative,membership_muni,observed,
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,cattle,0.485883,5212204,cooperative,membership_muni,observed,
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,46.943912,5212204,cooperative,membership_muni,observed,
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,cattle,1.199212,5212204,cooperative,membership_muni,observed,
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,cattle,2.857829,5212204,cooperative,membership_muni,observed,
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,cattle,0.465067,5212204,cooperative,membership_muni,observed,
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,cattle,1.615352,5484,buyer,slaughter_point,observed,7.959565
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,3.119789,5219258,cooperative,membership_muni,observed,
