loss_year,n_fields,cleared_ha
2001,26,108.41570728950089
2002,18,280.0011152639768
2003,17,151.95623401941532
2004,4,338.9974929002974
2005,15,141.34487788091087
2006,11,42.391012729462766
2007,10,3.4921141716569464
2008,10,47.226072405497355
2009,8,9.099611917699427
2010,29,248.77847673835035
2011,15,122.2036219364129
2012,12,16.65879618275306
2013,5,6.250278390494227
2014,7,16.895319179046048
2015,8,35.50946244647997
2016,2,2.6644393199176397
2017,8,8.796020533874927
2018,2,8.631869169958279
2019,10,80.15089466783702
2020,4,24.085417682292345
2021,6,74.92192560131676
2022,7,24.54848259856385
2023,2,3.879981778995653
2024,7,13.993888796631932
