cod_imovel,n_fields
GO-5212204-00000000000000000000000000000000,6000
GO-5212204-00000000000000000000000000000001,5800
GO-5212204-00000000000000000000000000000002,5600
GO-5212204-00000000000000000000000000000003,5400
GO-5212204-00000000000000000000000000000004,5200
GO-5212204-00000000000000000000000000000005,5000
GO-5212204-00000000000000000000000000000006,4800
GO-5212204-00000000000000000000000000000007,4600
GO-5212204-00000000000000000000000000000008,4400
GO-5212204-00000000000000000000000000000009,4200
