cod_imovel,dominant_mb,annex1_commodity,routed_tier
GO-5212204-00000000000000000000000000000000,15,cattle,slaughter_point
GO-5212204-00000000000000000000000000000001,15,cattle,slaughter_point
GO-5212204-00000000000000000000000000000002,15,cattle,slaughter_point
GO-5212204-00000000000000000000000000000003,15,cattle,slaughter_point
GO-5212204-00000000000000000000000000000004,15,cattle,slaughter_point
GO-5212204-00000000000000000000000000000005,15,cattle,slaughter_point
GO-5212204-00000000000000000000000000000006,15,cattle,slaughter_point
GO-5212204-00000000000000000000000000000007,15,cattle,slaughter_point
GO-5212204-00000000000000000000000000000008,15,cattle,slaughter_point
GO-5212204-00000000000000000000000000000009,15,cattle,slaughter_point
