cod_imovel,n_candidates,n_relationship,n_delivery,widened,no_match,proximity_override
GO-5212204-00000000000000000000000000000000,3,1,2,0,0,0
GO-5212204-00000000000000000000000000000001,3,1,2,0,0,0
GO-5212204-00000000000000000000000000000002,3,1,2,0,0,0
GO-5212204-00000000000000000000000000000003,3,1,2,0,0,0
GO-5212204-00000000000000000000000000000004,3,1,2,0,0,0
GO-5212204-00000000000000000000000000000005,3,1,2,0,0,0
GO-5212204-00000000000000000000000000000006,3,1,2,0,0,0
GO-5212204-00000000000000000000000000000007,3,1,2,0,0,0
GO-5212204-00000000000000000000000000000008,3,1,2,0,0,0
GO-5212204-00000000000000000000000000000009,3,1,2,0,0,0
