field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
1245,GO-5212204-011050C9BC804D77A80A4F161A120C5A,cattle,385.50,198.75
1246,GO-5212204-011050C9BC804D77A80A4F161A120C5A,cattle,420.25,185.50
1198,GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,soya,450.00,175.25
1199,GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,soya,410.75,165.00
1087,GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,cattle,520.50,155.75
1088,GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,cattle,480.25,148.50
956,GO-5212204-118F8241E57F4C21AF20F2486C2316F9,soya,395.00,135.25
957,GO-5212204-118F8241E57F4C21AF20F2486C2316F9,soya,430.75,128.00
801,GO-5212204-1388D04145DA42C49E1692A41D96CDB5,cattle,505.50,120.50
802,GO-5212204-1388D04145DA42C49E1692A41D96CDB5,cattle,475.25,115.75
