cod_imovel,annex1_commodity,post2020_loss_ha,top_contact_entity_id,entity_kind,tier,basis,distance_km
GO-5212204-011050C9BC804D77A80A4F161A120C5A,cattle,245.75,BR-GO-5210500-SP1,buyer,slaughter_point,observed,25.5
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,soya,198.50,BR-GO-5213005-INT1,cooperative,intake_point,observed,18.25
GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,cattle,175.25,BR-GO-5210500-SP2,buyer,slaughter_point,observed,32.75
GO-5212204-118F8241E57F4C21AF20F2486C2316F9,soya,156.00,BR-GO-5213005-INT2,cooperative,intake_point,observed,22.10
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,cattle,142.50,BR-GO-5210500-SP3,buyer,slaughter_point,observed,28.90
GO-5212204-156094615E67476AB099D9F46F6C0655,oil palm,128.75,5212204,cooperative,membership_muni,observed,
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,coffee,115.25,5212204,cooperative,membership_muni,observed,
GO-5212204-16833B91FD32494C864B458F765C0755,soya,98.50,BR-GO-5213005-INT3,cooperative,intake_point,observed,15.50
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,cattle,85.75,BR-GO-5210500-SP4,buyer,slaughter_point,observed,35.25
GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,soya,72.50,BR-GO-5213005-INT4,cooperative,intake_point,observed,19.75
