cod_imovel,municipio,post2020_loss_ha,n_fields_post2020_loss
GO-5212204-011050C9BC804D77A80A4F161A120C5A,Jussara,156.78,12
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,Jussara,134.23,10
GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,Jussara,123.45,9
GO-5212204-118F8241E57F4C21AF20F2486C2316F9,Jussara,112.67,8
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,Jussara,98.34,7
GO-5212204-156094615E67476AB099D9F46F6C0655,Jussara,87.56,6
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,Jussara,76.23,5
GO-5212204-16833B91FD32494C864B458F765C0755,Jussara,65.45,4
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,Jussara,54.67,3
GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,Jussara,43.89,2
