field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
100001,GO-5212204-011050C9BC804D77A80A4F161A120C5A,cattle,234.56,67.89
100002,GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,soya,189.34,45.67
100003,GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,cattle,156.78,34.56
100004,GO-5212204-118F8241E57F4C21AF20F2486C2316F9,soya,123.45,28.9
100005,GO-5212204-1388D04145DA42C49E1692A41D96CDB5,cattle,98.76,23.45
100006,GO-5212204-156094615E67476AB099D9F46F6C0655,coffee,87.65,18.23
100007,GO-5212204-162DBAFE85134130B3480CF2ED130BFA,soya,76.54,15.67
100008,GO-5212204-16833B91FD32494C864B458F765C0755,cattle,65.43,12.45
100009,GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,oil palm,54.32,10.34
100010,GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,cattle,43.21,8.76
