cod_imovel,dominant_mb,annex1_commodity,routed_tier
GO-5212204-011050C9BC804D77A80A4F161A120C5A,15,cattle,slaughter_point
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,39,soya,intake_point
GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,15,cattle,slaughter_point
GO-5212204-118F8241E57F4C21AF20F2486C2316F9,39,soya,intake_point
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,15,cattle,slaughter_point
GO-5212204-156094615E67476AB099D9F46F6C0655,46,coffee,no_match
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,39,soya,intake_point
GO-5212204-16833B91FD32494C864B458F765C0755,15,cattle,slaughter_point
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,35,oil palm,no_match
GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,15,cattle,slaughter_point
