cod_imovel,annex1_commodity,post2020_loss_ha,top_contact_entity_id,entity_kind,tier,basis,distance_km
GO-5212204-011050C9BC804D77A80A4F161A120C5A,cattle,67.89,FACIL_001,buyer,slaughter_point,observed,8.34
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,soya,45.67,FACIL_002,cooperative,intake_point,observed,12.56
GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,cattle,34.56,FACIL_003,buyer,slaughter_point,observed,15.67
GO-5212204-118F8241E57F4C21AF20F2486C2316F9,soya,28.9,FACIL_004,cooperative,intake_point,observed,22.34
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,cattle,23.45,FACIL_005,buyer,slaughter_point,observed,9.78
GO-5212204-156094615E67476AB099D9F46F6C0655,coffee,18.23,5212204,cooperative,membership_muni,observed,
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,soya,15.67,FACIL_006,cooperative,intake_point,observed,18.9
GO-5212204-16833B91FD32494C864B458F765C0755,cattle,12.45,FACIL_007,buyer,slaughter_point,observed,11.23
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,oil palm,10.34,5212204,cooperative,membership_muni,observed,
GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,cattle,8.76,FACIL_008,buyer,slaughter_point,observed,13.45
