field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
4974415,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,1.8667188875547674e-08,46.17420782619426
4946697,GO-5212204-D99E7FB413AF499E8845CAA36FC4353B,cattle,1.6922408745762047e-08,22.229237873034467
4681779,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,5.0836199975972734e-09,12.909262969805228
4533274,GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,1.2279028536858382e-09,10.803708043856142
4903857,GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,9.017677684172899e-10,10.74402097332412
4668028,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,2.3229673958771754e-09,9.535685592774282
4984281,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,9.555843151267906e-09,5.642639863972404
4670520,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,1.1214618989736034e-08,4.8736533997680604
4529771,GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,3.034078126199874e-08,4.289541535165246
4679025,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,4.2320923598133005e-10,3.118739976368598
