cod_imovel,entity_id,tier,distance_km
GO-5212204-294B806F6169468E98BB3456EC5158A4,20058453000186,mill_point,8326.153159883306
GO-5212204-89767A2A870E408092A410DDBAFF342D,76.0000.2301-9,intake_point,8063.276010400531
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330546138986
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,76.0000.2301-9,intake_point,8063.2759079364205
GO-5212204-50D789C6D210454F80F32B313D791784,20058453000186,mill_point,8326.153251198932
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,CONSORCIO_07180228000230_1_1,slaughter_point,8052.33057670294
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,20058453000186,mill_point,8326.153271811758
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,20058453000186,mill_point,8326.153165897029
GO-5212204-156094615E67476AB099D9F46F6C0655,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330600718609
GO-5212204-5A626DA1611C4A4885618BD646CF0010,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330465264434
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330600976468
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,76.0000.2301-9,intake_point,8063.275928106693
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,76.0000.2301-9,intake_point,8063.275952981138
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330526310667
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,76.0000.2301-9,intake_point,8063.2759033337215
GO-5212204-D99E7FB413AF499E8845CAA36FC4353B,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330564261124
GO-5212204-294B806F6169468E98BB3456EC5158A4,76.0000.2301-9,intake_point,8063.275830150688
GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330438051952
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330423679268
GO-5212204-89767A2A870E408092A410DDBAFF342D,20058453000186,mill_point,8326.153354386253
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,20058453000186,mill_point,8326.153243213586
GO-5212204-50D789C6D210454F80F32B313D791784,76.0000.2301-9,intake_point,8063.2759135064325
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,76.0000.2301-9,intake_point,8063.275935421321
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,76.0000.2301-9,intake_point,8063.275833922157
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330591146933
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330524801095
GO-5219258-790AA7BBD80648C79EF9210095176353,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330489453555
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,20058453000186,mill_point,8326.153266464318
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,20058453000186,mill_point,8326.15329644515
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,20058453000186,mill_point,8326.153238566701
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,CONSORCIO_07180228000230_1_1,slaughter_point,8052.33053452559
GO-5212204-294B806F6169468E98BB3456EC5158A4,CONSORCIO_07180228000230_1_1,slaughter_point,8052.3304191898
GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,76.0000.2301-9,intake_point,8063.27584904241
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,76.0000.2301-9,intake_point,8063.275834661375
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,20058453000186,mill_point,8326.153293515621
GO-5212204-50D789C6D210454F80F32B313D791784,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330502499892
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,20058453000186,mill_point,8326.153332832915
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330524422046
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,CONSORCIO_07180228000230_1_1,slaughter_point,8052.33042294852
GO-5212204-156094615E67476AB099D9F46F6C0655,20058453000186,mill_point,8326.153357804262
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,76.0000.2301-9,intake_point,8063.276002189018
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,76.0000.2301-9,intake_point,8063.275935825149
GO-5212204-5A626DA1611C4A4885618BD646CF0010,20058453000186,mill_point,8326.153207340083
GO-5219258-790AA7BBD80648C79EF9210095176353,76.0000.2301-9,intake_point,8063.275900452208
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,20058453000186,mill_point,8326.153359391907
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,20058453000186,mill_point,8326.153276941865
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,76.0000.2301-9,intake_point,8063.275945506759
GO-5212204-D99E7FB413AF499E8845CAA36FC4353B,20058453000186,mill_point,8326.153319858291
GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,20058453000186,mill_point,8326.153183965818
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,20058453000186,mill_point,8326.153168127876
GO-5212204-89767A2A870E408092A410DDBAFF342D,CONSORCIO_07180228000230_1_1,slaughter_point,8052.33059935772
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,76.0000.2301-9,intake_point,8063.27595713831
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,CONSORCIO_07180228000230_1_1,slaughter_point,8052.33049694362
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,76.0000.2301-9,intake_point,8063.275987751839
GO-5212204-156094615E67476AB099D9F46F6C0655,76.0000.2301-9,intake_point,8063.276011773039
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,20058453000186,mill_point,8326.153346055075
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,20058453000186,mill_point,8326.153276580477
GO-5212204-5A626DA1611C4A4885618BD646CF0010,76.0000.2301-9,intake_point,8063.275876233383
GO-5219258-790AA7BBD80648C79EF9210095176353,20058453000186,mill_point,8326.153236768025
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,76.0000.2301-9,intake_point,8063.2760120384055
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330517096293
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330541941615
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,76.0000.2301-9,intake_point,8063.275937328247
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,CONSORCIO_07180228000230_1_1,slaughter_point,8052.330492341199
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,20058453000186,mill_point,8326.153278697124
GO-5212204-D99E7FB413AF499E8845CAA36FC4353B,76.0000.2301-9,intake_point,8063.275975306946
