cod_imovel,entity_id,evidence
GO-5219258-782BD54A308C45BEA6E4184FDA795ED5,5219258,1.0
GO-5212204-950D2FF509934A06BF6812F6700B4B9D,5212204,1.0
GO-5212204-011050C9BC804D77A80A4F161A120C5A,5212204,1.0
GO-5212204-28658426F94C46068323D3A6FEE33470,5212204,1.0
GO-5212204-E8645BFEDF4047F3B7A323A4137BD120,5212204,1.0
GO-5212204-8DD46E6D5E704E74AEFF1181E1B9A06F,5212204,1.0
GO-5212204-B0DB916FE59C4F02AA797C8BBABA23EA,5212204,1.0
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,5212204,1.0
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,5212204,1.0
GO-5219258-790AA7BBD80648C79EF9210095176353,5219258,1.0
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,5212204,1.0
GO-5212204-498B6B5D358E4981AEF4DE19AF27B399,5212204,1.0
GO-5212204-27018A8454A847469C4A947E06A1A23E,5212204,1.0
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,5212204,1.0
GO-5212204-156094615E67476AB099D9F46F6C0655,5212204,1.0
GO-5212204-C89768295EC14B488BC2A10A70813D1B,5212204,1.0
GO-5212204-F02DDCCA149C4C74B510CC73B2AE078F,5212204,1.0
GO-5212204-3C9A1ADACE5C48158FFB0E253DD25653,5212204,1.0
GO-5212204-8D44AFB4390A42E39D43C06628182C81,5212204,1.0
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,5219258,1.0
GO-5212204-50D789C6D210454F80F32B313D791784,5212204,1.0
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,5212204,1.0
GO-5212204-CC710126509D41038EA24A25CC12E236,5212204,1.0
GO-5212204-973E3F7C82CF4FBC87FD49A783C04134,5212204,1.0
GO-5212204-618B314C50C54EEFBC18FB8B02538996,5212204,1.0
GO-5212204-2849994015EF46DB90DE964061CB16A2,5212204,1.0
GO-5212204-9F5C455B3F9F44B7BF9B40D03449CED9,5212204,1.0
GO-5212204-32E6D42B795F4D54B06D6D8C2709096C,5212204,1.0
GO-5212204-8C2ACD4A01B64F69807B969C95EEE9FC,5212204,1.0
GO-5212204-FF2B860A5A8E4683AC9980742FD4017B,5212204,1.0
