cod_imovel,total_candidates,relationship_count,delivery_count,n_widened,n_no_match,n_nearest_by_far
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,35478,5257,30221,0,0,0
GO-5212204-156094615E67476AB099D9F46F6C0655,35478,5257,30221,0,0,0
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,35478,5257,30221,0,0,0
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,35478,5257,30221,0,0,0
GO-5212204-5A626DA1611C4A4885618BD646CF0010,35478,5257,30221,0,0,0
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,35478,5257,30221,0,0,0
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,35478,5257,30221,0,0,0
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,35478,5257,30221,0,0,0
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,35478,5257,30221,0,0,0
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,35478,5257,30221,0,0,0
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,35478,5257,30221,0,0,0
GO-5212204-89767A2A870E408092A410DDBAFF342D,35478,5257,30221,0,0,0
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,35478,5257,30221,0,0,0
GO-5212204-D99E7FB413AF499E8845CAA36FC4353B,35478,5257,30221,0,0,0
GO-5212204-294B806F6169468E98BB3456EC5158A4,35478,5257,30221,0,0,0
GO-5212204-50D789C6D210454F80F32B313D791784,35478,5257,30221,0,0,0
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,35478,5257,30221,0,0,0
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,35478,5257,30221,0,0,0
GO-5219258-790AA7BBD80648C79EF9210095176353,35478,5257,30221,0,0,0
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,35478,5257,30221,0,0,0
GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,35478,5257,30221,0,0,0
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,35478,5257,30221,0,0,0
