cod_imovel,municipio,post2020_loss_ha,n_fields_post2020_loss
GO-5212204-5A626DA1611C4A4885618BD646CF0010,Jussara,850.5,12
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,Jussara,720.3,11
GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,Santa Fe de Goias,650.2,9
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,Jussara,580.1,8
GO-5212204-52E2FECF2A7042F2B0DC6B27138AADE6,Jussara,520.4,7
GO-5212204-CE5E071E653F445E8EA2609440D42C75,Jussara,450.2,6
GO-5212204-156094615E67476AB099D9F46F6C0655,Jussara,400.1,5
GO-5212204-DA0E3C866893466CA994D0B0178498F2,Jussara,380.3,5
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,Jussara,350.5,5
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,Jussara,308.2,4
