field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
123456,GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,250.5,85.2
123457,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,280.3,72.1
123458,GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,soya,200.2,65.3
123459,GO-5212204-5EA91F9370294F8F8F9447882810DD0B,cattle,220.1,58.2
123460,GO-5212204-52E2FECF2A7042F2B0DC6B27138AADE6,soya,185.4,52.1
123461,GO-5212204-CE5E071E653F445E8EA2609440D42C75,cattle,195.2,45.3
123462,GO-5212204-156094615E67476AB099D9F46F6C0655,soya,165.3,40.2
123463,GO-5212204-DA0E3C866893466CA994D0B0178498F2,cattle,178.5,38.1
123464,GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,cattle,195.2,35.2
123465,GO-5212204-59B661AA7FEB45408462F5CD9717FC56,soya,155.3,30.8
