cod_imovel,annex1_commodity,post2020_loss_ha,top_contact_entity_id,entity_kind,tier,basis,distance_km
GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,85.2,buyer123,buyer,slaughter_point,observed,42.5
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,72.1,buyer456,buyer,slaughter_point,observed,38.2
GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,soya,65.3,coop789,cooperative,intake_point,observed,15.3
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,cattle,58.2,buyer789,buyer,slaughter_point,observed,45.1
GO-5212204-52E2FECF2A7042F2B0DC6B27138AADE6,soya,52.1,coop456,cooperative,intake_point,observed,22.4
GO-5212204-CE5E071E653F445E8EA2609440D42C75,cattle,45.3,buyer234,buyer,slaughter_point,observed,50.2
GO-5212204-156094615E67476AB099D9F46F6C0655,soya,40.2,coop123,cooperative,intake_point,observed,18.5
GO-5212204-DA0E3C866893466CA994D0B0178498F2,cattle,38.1,buyer567,buyer,slaughter_point,observed,48.3
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,cattle,35.2,buyer890,buyer,slaughter_point,observed,52.1
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,soya,30.8,coop890,cooperative,intake_point,observed,25.0
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,cattle,28.5,buyer345,buyer,slaughter_point,observed,55.3
