cod_imovel,n_fields
GO-5212204-5A626DA1611C4A4885618BD646CF0010,74
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,42
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,42
GO-5212204-52E2FECF2A7042F2B0DC6B27138AADE6,31
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,29
GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,28
GO-5212204-CE5E071E653F445E8EA2609440D42C75,26
GO-5212204-156094615E67476AB099D9F46F6C0655,22
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,22
GO-5212204-2CC9462D520645069EBCBC7EA3D33548,21
