[90mWARNING:
[00m[90m'ST_Transform' assumes the axis order of the input geometry to be the same as defined by the source CRS.
E.g., EPSG:4326 expects [NORTHING, EASTING] (= LATITUDE, LONGITUDE).
In the future this will change to always assume [EASTING, NORTHING] regardless of CRS definition.
To avoid unexpected results when this changes:
 * 'SET geometry_always_xy = true' to always expect [EASTING, NORTHING]
 * 'SET geometry_always_xy = false' to keep current behavior
 * Pass 'true' or 'false' as last optional 'always_xy' parameter to override per-call

[00mfield_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
4974415,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,157.184738334588,46.17420782619426
4681779,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,42.70482887730026,12.909262969805228
4533274,GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,10.300890598201496,10.803708043856142
4903857,GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,7.595593334893303,10.74402097332412
4668028,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,19.51786213134132,9.535685592774282
4679025,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,3.5558701326609206,3.118739976368598
4659940,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,5.223696794535317,3.1087037557025057
4745030,GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,cattle,5.499179779221251,2.82047737328484
4766627,GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,88.74697672128107,2.716818316042302
4685105,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,4.663433909531153,2.481839554175935
