[90mWARNING:
[00m[90m'ST_Transform' assumes the axis order of the input geometry to be the same as defined by the source CRS.
E.g., EPSG:4326 expects [NORTHING, EASTING] (= LATITUDE, LONGITUDE).
In the future this will change to always assume [EASTING, NORTHING] regardless of CRS definition.
To avoid unexpected results when this changes:
 * 'SET geometry_always_xy = true' to always expect [EASTING, NORTHING]
 * 'SET geometry_always_xy = false' to keep current behavior
 * Pass 'true' or 'false' as last optional 'always_xy' parameter to override per-call

[00mcod_imovel,entity_id,tier,distance_km
GO-5212204-156094615E67476AB099D9F46F6C0655,48.0491.0063-1,intake_point,13.100228
GO-5212204-294B806F6169468E98BB3456EC5158A4,SIE_10373806000189_1291/09_1,slaughter_point,8.246915
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,5484,slaughter_point,12.389648
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,5484,slaughter_point,13.277812
GO-5212204-50D789C6D210454F80F32B313D791784,5484,slaughter_point,12.008776
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,5484,slaughter_point,14.563042
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,48.0491.0063-1,intake_point,14.90231
GO-5212204-5A626DA1611C4A4885618BD646CF0010,SIE_10373806000189_1291/09_1,slaughter_point,12.085698
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,SIE_10373806000189_1291/09_1,slaughter_point,10.318357
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,48.0491.0063-1,intake_point,14.889154
GO-5212204-89767A2A870E408092A410DDBAFF342D,48.0491.0063-1,intake_point,10.192283
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,48.0491.0063-1,intake_point,10.808286
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,48.0491.0063-1,intake_point,13.697124
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,SIE_10373806000189_1291/09_1,slaughter_point,17.921423
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,5484,slaughter_point,14.092847
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,5484,slaughter_point,16.023272
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,5484,slaughter_point,7.951377
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,5484,slaughter_point,12.009697
