cod_imovel,entity_id,evidence
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,GO,1
GO-5212204-011050C9BC804D77A80A4F161A120C5A,GO,1
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,GO,1
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,GO,1
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,GO,1
GO-5212204-16833B91FD32494C864B458F765C0755,GO,1
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,GO,1
GO-5212204-230E3EB4EA894130A1CF632779C35DF4,GO,1
GO-5212204-27018A8454A847469C4A947E06A1A23E,GO,1
GO-5212204-2849994015EF46DB90DE964061CB16A2,GO,1
GO-5212204-294B806F6169468E98BB3456EC5158A4,GO,1
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,GO,1
GO-5212204-2CC9462D520645069EBCBC7EA3D33548,GO,1
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,GO,1
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,GO,1
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,GO,1
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,GO,1
GO-5212204-722863690680490CA4C132CD628B76D4,GO,1
GO-5212204-8C2ACD4A01B64F69807B969C95EEE9FC,GO,1
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,GO,1
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,GO,1
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,GO,1
GO-5212204-BE591775498E412EB7E493B69772012F,GO,1
GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,GO,1
GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,GO,1
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,GO,1
