cod_imovel,annex1_commodity,post2020_loss_ha,entity_id,entity_kind,tier,basis,distance_km
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,cattle,0.0,4029,buyer,slaughter_point,observed,27.143220569196618
GO-5212204-011050C9BC804D77A80A4F161A120C5A,cattle,0.0,5484,buyer,slaughter_point,observed,16.733692177433134
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,cattle,0.0,48.0491.0063-1,cooperative,intake_point,observed,15.16816415993344
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,cattle,0.0,4029,buyer,slaughter_point,observed,28.499568483496216
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,cattle,0.0,4029,buyer,slaughter_point,observed,25.06137788588624
GO-5212204-16833B91FD32494C864B458F765C0755,cattle,0.0,5484,buyer,slaughter_point,observed,22.195213819011
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,cattle,0.0,4029,buyer,slaughter_point,observed,26.25040182288941
GO-5212204-230E3EB4EA894130A1CF632779C35DF4,cattle,0.0,4029,buyer,slaughter_point,observed,29.354561374798028
GO-5212204-27018A8454A847469C4A947E06A1A23E,cattle,0.0,4029,buyer,slaughter_point,observed,29.613407691961882
GO-5212204-2849994015EF46DB90DE964061CB16A2,cattle,0.0,5484,buyer,slaughter_point,observed,16.47300634891626
GO-5212204-294B806F6169468E98BB3456EC5158A4,cattle,0.0,SIE_10373806000189_1291/09_1,buyer,slaughter_point,observed,12.718770137760643
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,29.501388598984487,5484,buyer,slaughter_point,observed,16.0381899952735
GO-5212204-2CC9462D520645069EBCBC7EA3D33548,cattle,0.0,5484,buyer,slaughter_point,observed,23.829070020842433
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,3.0036766976918647,5484,buyer,slaughter_point,observed,20.63092717489664
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,cattle,0.0,SIE_23397792000185_149816_1,buyer,slaughter_point,observed,24.516244695897953
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,cattle,0.0,5484,buyer,slaughter_point,observed,9.96312214973614
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,13.314346325955396,4029,buyer,slaughter_point,observed,22.998579437495554
GO-5212204-722863690680490CA4C132CD628B76D4,cattle,0.0,4029,buyer,slaughter_point,observed,24.94043585490616
GO-5212204-8C2ACD4A01B64F69807B969C95EEE9FC,cattle,0.0,48.0491.0063-1,cooperative,intake_point,observed,14.18004512926671
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,cattle,1.1992123598349458,5484,buyer,slaughter_point,observed,20.31743748478854
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,cattle,2.8578291389362964,5484,buyer,slaughter_point,observed,19.590604835707246
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,cattle,0.0,5484,buyer,slaughter_point,observed,21.943964699523725
GO-5212204-BE591775498E412EB7E493B69772012F,cattle,0.0,4029,buyer,slaughter_point,observed,31.288175029891306
GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,cattle,0.0,5484,buyer,slaughter_point,observed,10.603590513821871
GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,cattle,0.0,5484,buyer,slaughter_point,observed,9.405752596287357
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,cattle,1.615352378548856,5484,buyer,slaughter_point,observed,8.184261618695594
