field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
4974415,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soya,221.203819,46.174208
4681779,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,60.298398,12.909263
4533274,GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,14.57163,10.803708
4903857,GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,10.688201,10.744021
4668028,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,27.554528,9.535686
4679025,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,5.019789,3.11874
4659940,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,7.373583,3.108704
4745030,GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,cattle,7.765438,2.820477
4766627,GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,125.170824,2.716818
4685105,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,6.585191,2.48184
