field_id,cod_imovel,annex1_commodity,field_area_ha,post2020_loss_ha
4974415,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soy,221.031888,46.174208
4681779,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,60.253029,12.909263
4668028,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,27.533754,9.535686
4984281,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soy,113.140283,5.64264
4679025,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,5.016003,3.11874
4659940,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,7.368015,3.108704
4766627,GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,125.075476,2.716818
4685105,GO-5212204-57B761BC972B4CF1ACB6FB3191344583,cattle,6.580242,2.48184
4894338,GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,cattle,272.960427,1.523691
4681776,GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,cattle,28.501809,1.199212
