cod_imovel,annex1_commodity,post2020_loss_ha,top_contact_entity_id,entity_kind,tier,basis,distance_km
GO-5212204-156094615E67476AB099D9F46F6C0655,cattle,0.311627,4029,buyer,slaughter_point,observed,24.630211
GO-5212204-294B806F6169468E98BB3456EC5158A4,cattle,0.049212,SIE_10373806000189_1291/09_1,buyer,slaughter_point,observed,11.159547
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,cattle,27.019549,5484,buyer,slaughter_point,observed,13.873951
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,cattle,3.003677,5484,buyer,slaughter_point,observed,19.010071
GO-5212204-50D789C6D210454F80F32B313D791784,cattle,0.275553,5484,buyer,slaughter_point,observed,16.343969
GO-5212204-57B761BC972B4CF1ACB6FB3191344583,cattle,2.48184,5484,buyer,slaughter_point,observed,16.170019
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,cattle,0.603601,5484,buyer,slaughter_point,observed,21.209895
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,cattle,0.048188,5484,buyer,slaughter_point,observed,23.046678
GO-5212204-5A626DA1611C4A4885618BD646CF0010,cattle,0.034627,5484,buyer,slaughter_point,observed,12.132954
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,cattle,0.081526,5484,buyer,slaughter_point,observed,5.713819
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,,2.570325,5212204,cooperative,membership_muni,observed,
GO-5212204-89767A2A870E408092A410DDBAFF342D,cattle,0.086554,4029,buyer,slaughter_point,observed,26.59255
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,cattle,0.485883,4029,buyer,slaughter_point,observed,26.320586
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,soy,52.586552,48.0491.0063-1,cooperative,intake_point,observed,13.236006
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,cattle,1.199212,5484,buyer,slaughter_point,observed,19.057842
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,cattle,0.465067,5484,buyer,slaughter_point,observed,20.373576
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,cattle,1.615352,5484,buyer,slaughter_point,observed,6.059582
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,cattle,3.119789,5484,buyer,slaughter_point,observed,12.573843
