cod_imovel,total_candidates,relationship_candidates,delivery_candidates,widened,no_match,proximity_override
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,5,1,4,0,0,0
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,7,1,6,0,0,0
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,7,1,6,0,0,0
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,7,1,6,0,0,0
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,10,1,9,0,0,0
GO-5212204-57B761BC972B4CF1ACB6FB3191344583,6,1,5,0,0,0
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,7,1,6,0,0,1
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,6,1,5,0,0,0
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,8,1,7,0,0,0
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,7,1,6,0,0,0
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,6,1,5,0,0,0
GO-5212204-156094615E67476AB099D9F46F6C0655,10,1,9,0,0,0
GO-5212204-50D789C6D210454F80F32B313D791784,7,1,6,0,0,0
GO-5212204-89767A2A870E408092A410DDBAFF342D,7,1,6,0,0,0
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,7,1,6,0,0,1
GO-5212204-294B806F6169468E98BB3456EC5158A4,6,1,5,0,0,0
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,10,1,9,0,0,0
GO-5212204-5A626DA1611C4A4885618BD646CF0010,6,1,5,0,0,0
