cod_imovel,municipio,post2020_loss_ha,n_fields_post2020_loss
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,Jussara,52.586552,3
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,Jussara,27.019549,11
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,Santa Fe de Goias,3.119789,2
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,Jussara,3.003677,2
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,Jussara,2.570325,4
GO-5212204-57B761BC972B4CF1ACB6FB3191344583,Jussara,2.48184,1
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,Santa Fe de Goias,1.615352,2
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,Jussara,1.199212,1
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,Jussara,0.603601,1
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,Jussara,0.485883,2
