agent,agent_config,model,run_id,label,accuracy,correct,near_miss,total,cost_usd,turns,duration_seconds,slow_tool_seconds,timed_out_tool_calls,sigkilled_tool_calls
claude,4bf60a26473c,haiku,20260919T103645Z-85ee197-411aeb27,spec-consolidation,0.0967741935483871,3,5,31,0.454166,54,949.5,510.0,0,0
claude,4bf60a26473c,haiku,20260919T105238Z-85ee197-9012e6a7,spec-consolidation,0.16129032258064516,5,3,31,0.534389,89,736.3,360.0,0,0
claude,4bf60a26473c,haiku,20260919T110457Z-85ee197-69b574a4,spec-consolidation,0.0,0,7,31,0.470614,69,284.1,0.0,0,0
claude,4bf60a26473c,haiku,20260919T110944Z-85ee197-9945c357,spec-consolidation,0.0,0,7,31,0.436244,53,258.2,0.0,0,0
claude,4bf60a26473c,haiku,20260919T111406Z-85ee197-e20ef493,spec-consolidation,0.12903225806451613,4,5,31,0.780676,124,1268.7,660.0,0,0
claude,4bf60a26473c,haiku,20260919T113518Z-85ee197-2ce26dc2,spec-consolidation,0.16129032258064516,5,6,31,0.498625,110,675.1,240.0,0,0
claude,4bf60a26473c,haiku,20260919T114638Z-85ee197-ce2c7daa,spec-consolidation,0.12903225806451613,4,6,31,0.944144,142,1772.9,840.0,0,0
claude,4bf60a26473c,haiku,20260919T121612Z-85ee197-d0e2ff71,spec-consolidation,0.03225806451612903,1,5,31,0.402712,51,182.3,0.0,0,0
claude,4bf60a26473c,haiku,20260919T121918Z-85ee197-a6c7af2d,spec-consolidation,0.0,0,6,31,0.984272,102,520.9,0.0,0,0
claude,4bf60a26473c,haiku,20260919T122803Z-85ee197-b0d69bc1,spec-consolidation,0.1935483870967742,6,6,31,1.40661,188,4576.5,3270.0,0,0
claude,f208cf7ddd22,opus,20260918T192020Z-42b0452-9b86809e,spec-consolidation,0.8709677419354839,27,2,31,4.671293,115,1791.1,690.0,0,0
claude,f208cf7ddd22,opus,20260918T200349Z-42b0452-c3a9ae5e,spec-consolidation,0.9032258064516129,28,0,31,4.581926,133,1540.4,330.0,0,0
